id,text,label,prediction,raw_output,error_type,note
1,L&T has also made a commitment to redeem the remaining shares by the end of 2011 .,neutral,unparsed,p,unparsed_short_output,Raw output is a single letter. It may imply positive but the parser cannot safely map it without adding risky aliases.
2,"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??",negative,unparsed,��,unparsed_noisy_output,The model generated corrupted or non-label text, so the evaluator counted it as unparsed.
3,The new factory working model and reorganisations would decrease Nokian Tyres ' costs in the factory by EUR 30 million ( USD 38.7 m ) .,positive,unparsed,p,unparsed_short_output,The sentence is positive because of cost decrease, but the raw output is only one letter.
4,Net sales in 2007 totalled EUR 329 million and the operating margin was over 19 % .,neutral,positive,positive,neutral_positive_confusion,The model treats strong margin information as positive, while the dataset label is neutral descriptive reporting.
5,"Also , a seven-year historic analysis is provided for these markets .",neutral,positive,2,neutral_positive_confusion,Numeric raw output 2 is parsed as positive even though the sentence only describes report content.
6,A realignment of interests in the sector is clearly under way .,positive,unparsed,\,unparsed_noisy_output,The label is positive but the raw output is not a valid class token.
7,"Cramo , headquartered in Vantaa , Finland , rents construction machinery and equipment , as well as rents and sells modular space .",neutral,negative,0,neutral_negative_confusion,The sentence is company description, but numeric raw output 0 is parsed as negative.
8,A 2001 agreement expired earlier this month .,neutral,positive,2,neutral_positive_confusion,The sentence is factual and neutral, but the numeric label was parsed as positive.
9,"The transaction will have a positive impact of around EUR2m on earnings , which Ruukki will recognize during the fourth quarter of this year .",positive,unparsed,\,unparsed_noisy_output,The sentence has explicit positive signal, but output is not parseable.
10,"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",positive,unparsed,a,unparsed_short_output,The sentence is positive, but raw output is a single unrelated letter.
11,"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year .",negative,neutral,1,negative_neutral_confusion,The model misses the deterioration from 10.5m to 6.5m and predicts neutral.
12,"- The Group -¦ s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million .",neutral,unparsed,none,unparsed_non_label_word,The model outputs none, which is outside the allowed three sentiment labels.
13,"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float .",neutral,unparsed,p,unparsed_short_output,The sentence is factual transaction news, but the raw output is only one letter.
14,The exercise originated in Finland in the early 1930s as a training method for cross-country skiers .,neutral,positive,+,neutral_positive_confusion,The plus sign is parsed as positive even though the sentence is background information.
15,The statutory negotiations at headquarters are part of this decrease .,neutral,negative,0,neutral_negative_confusion,The word decrease likely pushes the model negative, but the dataset labels this context as neutral.
16,"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",positive,neutral,neutral,positive_neutral_confusion,The model underestimates the positive business or technology development signal.
17,"The orders are for 26 machine-room-less KONE MonoSpace elevators , which would be installed during 2006 .",neutral,negative,0,neutral_negative_confusion,The sentence is an order announcement but the numeric output maps to negative.
18,"`` We have a license agreement with Nokia Corp. which in part expires on April 9 , 2007 .",neutral,unparsed,a,unparsed_short_output,The raw output is a single unrelated letter rather than a sentiment label.
19,Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,positive,unparsed,\,unparsed_noisy_output,The sentence has explicit bullish and buy signals, but the model output cannot be parsed.
20,"Amer , which bought Salomon from adidas in October , said the job cuts are aimed at boosting competitiveness .",neutral,unparsed,p,unparsed_short_output,The sentence includes job cuts and competitiveness context, but raw output is only one letter.
